"concept_id","source_type","source_name","field_name","raw_metadata","description"
pampers_public_account_bind_snapshot_assoc_bind_status,EVENT,绑定状态,bind_status,"{""desc"": ""绑定状态"", ""type"": ""Enum""}","这是一个来源为EVENT，名为""绑定状态""的下的属性字段，名为bind_status。它的含义是""绑定状态""。可选值为：绑定,解绑"
pampers_public_account_bind_snapshot_assoc_bind_source_channel_id,EVENT,绑定来源渠道名称,bind_source_channel_id,"{""desc"": ""绑定来源渠道名称"", ""type"": ""Enum""}","这是一个来源为EVENT，名为""绑定来源渠道名称""的下的属性字段，名为bind_source_channel_id。它的含义是""绑定来源渠道名称""。可选值为：WECHAT,WECHAT_MINI_PROGRAM,WEIBO,WECONNECT,DOUYIN,ALIPAY_MINI_PROGRAM,VIP,INSTORE,JD,TMALL,WEBSITE"
pampers_public_account_bind_snapshot_assoc_s_member_id,EVENT,会员唯一ID,s_member_id,"{""desc"": ""会员唯一ID"", ""type"": ""String""}","这是一个来源为EVENT，名为""会员唯一ID""的下的属性字段，名为s_member_id。它的含义是""会员唯一ID""。可选值为：无"
pampers_weconnect_bind_fact_bind_datetime,EVENT,最新添加好友时间,bind_datetime,"{""desc"": ""最新添加好友时间"", ""type"": ""Date""}","这是一个来源为EVENT，名为""最新添加好友时间""的下的属性字段，名为bind_datetime。它的含义是""最新添加好友时间""。可选值为：无"
pampers_weconnect_bind_fact_s_member_id,EVENT,会员唯一ID,s_member_id,"{""desc"": ""会员唯一ID"", ""type"": ""String""}","这是一个来源为EVENT，名为""会员唯一ID""的下的属性字段，名为s_member_id。它的含义是""会员唯一ID""。可选值为：无"
pampers_weconnect_bind_fact_one_id,EVENT,one_id,one_id,"{""desc"": ""one_id"", ""type"": ""String""}","这是一个来源为EVENT，名为""one_id""的下的属性字段，名为one_id。它的含义是""one_id""。可选值为：无"
pampers_weconnect_bind_fact_member_id,EVENT,会员ID,member_id,"{""desc"": ""会员ID"", ""type"": ""String""}","这是一个来源为EVENT，名为""会员ID""的下的属性字段，名为member_id。它的含义是""会员ID""。可选值为：无"
pampers_weconnect_bind_fact_member_union_id,EVENT,会员UNIONID,member_union_id,"{""desc"": ""会员UNIONID"", ""type"": ""String""}","这是一个来源为EVENT，名为""会员UNIONID""的下的属性字段，名为member_union_id。它的含义是""会员UNIONID""。可选值为：无"
pampers_weconnect_bind_fact_public_account_id,EVENT,企业号,public_account_id,"{""desc"": ""企业号"", ""type"": ""Enum""}","这是一个来源为EVENT，名为""企业号""的下的属性字段，名为public_account_id。它的含义是""企业号""。可选值为：Pampers"
pampers_weconnect_bind_fact_brand_id,EVENT,品牌名称,brand_id,"{""desc"": ""品牌名称"", ""type"": ""Enum""}","这是一个来源为EVENT，名为""品牌名称""的下的属性字段，名为brand_id。它的含义是""品牌名称""。可选值为：Pampers(Pampers),3"
pampers_weconnect_bind_fact_employee_id,EVENT,导购ID,employee_id,"{""desc"": ""导购ID"", ""type"": ""String""}","这是一个来源为EVENT，名为""导购ID""的下的属性字段，名为employee_id。它的含义是""导购ID""。可选值为：无"
pampers_weconnect_bind_fact_up_employee_id,EVENT,导购ID（大写）,up_employee_id,"{""desc"": ""导购ID（大写）"", ""type"": ""String""}","这是一个来源为EVENT，名为""导购ID（大写）""的下的属性字段，名为up_employee_id。它的含义是""导购ID（大写）""。可选值为：无"
pampers_weconnect_bind_fact_bind_status,EVENT,绑定状态,bind_status,"{""desc"": ""绑定状态"", ""type"": ""Enum""}","这是一个来源为EVENT，名为""绑定状态""的下的属性字段，名为bind_status。它的含义是""绑定状态""。可选值为：解绑,绑定"
pampers_join_mkt_campaign_fact_join_datetime,EVENT,加入营销活动时间,join_datetime,"{""desc"": ""加入营销活动时间"", ""type"": ""Date""}","这是一个来源为EVENT，名为""加入营销活动时间""的下的属性字段，名为join_datetime。它的含义是""加入营销活动时间""。可选值为：无"
pampers_join_mkt_campaign_fact_member_id,EVENT,会员ID,member_id,"{""desc"": ""会员ID"", ""type"": ""String""}","这是一个来源为EVENT，名为""会员ID""的下的属性字段，名为member_id。它的含义是""会员ID""。可选值为：无"
pampers_join_mkt_campaign_fact_s_member_id,EVENT,会员唯一ID,s_member_id,"{""desc"": ""会员唯一ID"", ""type"": ""String""}","这是一个来源为EVENT，名为""会员唯一ID""的下的属性字段，名为s_member_id。它的含义是""会员唯一ID""。可选值为：无"
pampers_join_mkt_campaign_fact_campaign_id,EVENT,营销活动编号,campaign_id,"{""desc"": ""营销活动编号"", ""type"": ""String""}","这是一个来源为EVENT，名为""营销活动编号""的下的属性字段，名为campaign_id。它的含义是""营销活动编号""。可选值为：无"
pampers_join_mkt_campaign_fact_campaign_name,EVENT,营销活动名称,campaign_name,"{""desc"": ""营销活动名称"", ""type"": ""String""}","这是一个来源为EVENT，名为""营销活动名称""的下的属性字段，名为campaign_name。它的含义是""营销活动名称""。可选值为：无"
pampers_join_mkt_campaign_fact_one_id,EVENT,One_id,one_id,"{""desc"": ""One_id"", ""type"": ""String""}","这是一个来源为EVENT，名为""One_id""的下的属性字段，名为one_id。它的含义是""One_id""。可选值为：无"
pampers_join_mkt_campaign_fact_store_id,EVENT,加入活动店铺,store_id,"{""desc"": ""加入活动店铺"", ""type"": ""String""}","这是一个来源为EVENT，名为""加入活动店铺""的下的属性字段，名为store_id。它的含义是""加入活动店铺""。可选值为：无"
pampers_join_mkt_campaign_fact_is_only_join_cam,EVENT,是否仅参加活动,is_only_join_cam,"{""desc"": ""是否仅参加活动"", ""type"": ""Enum""}","这是一个来源为EVENT，名为""是否仅参加活动""的下的属性字段，名为is_only_join_cam。它的含义是""是否仅参加活动""。可选值为：是"
pampers_join_mkt_campaign_fact_brand_id,EVENT,品牌编号,brand_id,"{""desc"": ""品牌编号"", ""type"": ""Enum""}","这是一个来源为EVENT，名为""品牌编号""的下的属性字段，名为brand_id。它的含义是""品牌编号""。可选值为：Pampers"
pampers_join_mkt_campaign_fact_transaction_channel,EVENT,购买渠道,transaction_channel,"{""desc"": ""购买渠道"", ""type"": ""Enum""}","这是一个来源为EVENT，名为""购买渠道""的下的属性字段，名为transaction_channel。它的含义是""购买渠道""。可选值为：无"
pampers_join_mkt_campaign_fact_bc_id,EVENT,美容顾问编号,bc_id,"{""desc"": ""美容顾问编号"", ""type"": ""String""}","这是一个来源为EVENT，名为""美容顾问编号""的下的属性字段，名为bc_id。它的含义是""美容顾问编号""。可选值为：无"
pampers_trans_fact_member_id,EVENT,会员ID,member_id,"{""desc"": ""会员ID"", ""type"": ""String""}","这是一个来源为EVENT，名为""会员ID""的下的属性字段，名为member_id。它的含义是""会员ID""。可选值为：无"
pampers_trans_fact_transaction_id,EVENT,订单号,transaction_id,"{""desc"": ""订单号"", ""type"": ""String""}","这是一个来源为EVENT，名为""订单号""的下的属性字段，名为transaction_id。它的含义是""订单号""。可选值为：无"
pampers_trans_fact_transaction_retail_amount,EVENT,订单零售价格,transaction_retail_amount,"{""desc"": ""订单零售价格"", ""type"": ""Double""}","这是一个来源为EVENT，名为""订单零售价格""的下的属性字段，名为transaction_retail_amount。它的含义是""订单零售价格""。可选值为：无"
pampers_trans_fact_transaction_payment,EVENT,订单支付金额,transaction_payment,"{""desc"": ""订单支付金额"", ""type"": ""Double""}","这是一个来源为EVENT，名为""订单支付金额""的下的属性字段，名为transaction_payment。它的含义是""订单支付金额""。可选值为：无"
pampers_trans_fact_is_presale,EVENT,是否预售订单,is_presale,"{""desc"": ""是否预售订单"", ""type"": ""Enum""}","这是一个来源为EVENT，名为""是否预售订单""的下的属性字段，名为is_presale。它的含义是""是否预售订单""。可选值为：否,是,未知"
pampers_trans_fact_purchase_channel_name,EVENT,购买渠道,purchase_channel_name,"{""desc"": ""购买渠道"", ""type"": ""Enum""}","这是一个来源为EVENT，名为""购买渠道""的下的属性字段，名为purchase_channel_name。它的含义是""购买渠道""。可选值为：DOUYIN,JD,O2O,TMALL,VIP,YOUZAN"
pampers_trans_fact_store_id,EVENT,门店编号,store_id,"{""desc"": ""门店编号"", ""type"": ""Enum""}","这是一个来源为EVENT，名为""门店编号""的下的属性字段，名为store_id。它的含义是""门店编号""。可选值为：1000001933,1709997,8,97876259,v003"
pampers_trans_fact_cus_store_id,EVENT,线下商超柜台门店编号,cus_store_id,"{""desc"": ""线下商超柜台门店编号"", ""type"": ""String""}","这是一个来源为EVENT，名为""线下商超柜台门店编号""的下的属性字段，名为cus_store_id。它的含义是""线下商超柜台门店编号""。可选值为：无"
pampers_trans_fact_store_name,EVENT,门店名称,store_name,"{""desc"": ""门店名称"", ""type"": ""Enum""}","这是一个来源为EVENT，名为""门店名称""的下的属性字段，名为store_name。它的含义是""门店名称""。可选值为：帮宝适京东自营官方旗舰店_JD,帮宝适唯品会商城_VIP,帮宝适官方旗舰店_TMALL,帮宝适抖音商城_DOUYIN,帮宝适有赞微商城_YOUZAN"
pampers_trans_fact_is_full_refund,EVENT,订单是否全退,is_full_refund,"{""desc"": ""订单是否全退"", ""type"": ""Enum""}","这是一个来源为EVENT，名为""订单是否全退""的下的属性字段，名为is_full_refund。它的含义是""订单是否全退""。可选值为：否,是"
pampers_trans_fact_transaction_refund_amount,EVENT,订单退单金额,transaction_refund_amount,"{""desc"": ""订单退单金额"", ""type"": ""Double""}","这是一个来源为EVENT，名为""订单退单金额""的下的属性字段，名为transaction_refund_amount。它的含义是""订单退单金额""。可选值为：无"
pampers_trans_fact_transaction_actual_qty,EVENT,退单后实际购买数量,transaction_actual_qty,"{""desc"": ""退单后实际购买数量"", ""type"": ""Int""}","这是一个来源为EVENT，名为""退单后实际购买数量""的下的属性字段，名为transaction_actual_qty。它的含义是""退单后实际购买数量""。可选值为：无"
pampers_trans_fact_transaction_actual_payment,EVENT,退单后实际消费金额,transaction_actual_payment,"{""desc"": ""退单后实际消费金额"", ""type"": ""Double""}","这是一个来源为EVENT，名为""退单后实际消费金额""的下的属性字段，名为transaction_actual_payment。它的含义是""退单后实际消费金额""。可选值为：无"
pampers_trans_fact_transaction_refund_type,EVENT,退单类型,transaction_refund_type,"{""desc"": ""退单类型"", ""type"": ""Enum""}","这是一个来源为EVENT，名为""退单类型""的下的属性字段，名为transaction_refund_type。它的含义是""退单类型""。可选值为：部分退,全退"
pampers_trans_fact_fiscal_year,EVENT,财年,fiscal_year,"{""desc"": ""财年"", ""type"": ""Enum""}","这是一个来源为EVENT，名为""财年""的下的属性字段，名为fiscal_year。它的含义是""财年""。可选值为：FY1415,FY1516,FY1617,FY1819,FY1920,FY2021,FY2122,FY2223,FY2324,FY2425,FY2526"
pampers_trans_fact_transaction_datetime,EVENT,交易时间,transaction_datetime,"{""desc"": ""交易时间"", ""type"": ""Date""}","这是一个来源为EVENT，名为""交易时间""的下的属性字段，名为transaction_datetime。它的含义是""交易时间""。可选值为：无"
pampers_trans_fact_s_member_id,EVENT,会员唯一ID,s_member_id,"{""desc"": ""会员唯一ID"", ""type"": ""String""}","这是一个来源为EVENT，名为""会员唯一ID""的下的属性字段，名为s_member_id。它的含义是""会员唯一ID""。可选值为：无"
pampers_trans_fact_is_delete,EVENT,是否删单,is_delete,"{""desc"": ""是否删单"", ""type"": ""Enum""}","这是一个来源为EVENT，名为""是否删单""的下的属性字段，名为is_delete。它的含义是""是否删单""。可选值为：删除,正常"
pampers_trans_detail_fact_member_id,EVENT,会员ID,member_id,"{""desc"": ""会员ID"", ""type"": ""String""}","这是一个来源为EVENT，名为""会员ID""的下的属性字段，名为member_id。它的含义是""会员ID""。可选值为：无"
pampers_trans_detail_fact_transaction_id,EVENT,订单号,transaction_id,"{""desc"": ""订单号"", ""type"": ""String""}","这是一个来源为EVENT，名为""订单号""的下的属性字段，名为transaction_id。它的含义是""订单号""。可选值为：无"
pampers_trans_detail_fact_category_cn,EVENT,所属品类,category_cn,"{""desc"": ""所属品类"", ""type"": ""Enum""}","这是一个来源为EVENT，名为""所属品类""的下的属性字段，名为category_cn。它的含义是""所属品类""。可选值为：个人清洁,剃须护理,口腔护理,妇女卫生,婴儿护理,家居护理,小家电,护肤品类,洗发护发,织物护理"
pampers_trans_detail_fact_rpc_code,EVENT,RPC CODE,rpc_code,"{""desc"": ""RPC CODE"", ""type"": ""String""}","这是一个来源为EVENT，名为""RPC CODE""的下的属性字段，名为rpc_code。它的含义是""RPC CODE""。可选值为：无"
pampers_trans_detail_fact_product_name,EVENT,宝洁产品名称,product_name,"{""desc"": ""宝洁产品名称"", ""type"": ""String""}","这是一个来源为EVENT，名为""宝洁产品名称""的下的属性字段，名为product_name。它的含义是""宝洁产品名称""。可选值为：无"
pampers_trans_detail_fact_brand_en,EVENT,产品品牌,brand_en,"{""desc"": ""产品品牌"", ""type"": ""Enum""}","这是一个来源为EVENT，名为""产品品牌""的下的属性字段，名为brand_en。它的含义是""产品品牌""。可选值为：Ariel,Braun,Crest,Downy,Febreze,Gillette,H&S,HR,OLAY,Oral B,Pampers,PNT,RJ,SFG,Tampax,Tide,Venus,VS,Whisper"
pampers_trans_detail_fact_upc,EVENT,upc,upc,"{""desc"": ""upc"", ""type"": ""String""}","这是一个来源为EVENT，名为""upc""的下的属性字段，名为upc。它的含义是""upc""。可选值为：无"
pampers_trans_detail_fact_product_qty,EVENT,购买商品数量,product_qty,"{""desc"": ""购买商品数量"", ""type"": ""Int""}","这是一个来源为EVENT，名为""购买商品数量""的下的属性字段，名为product_qty。它的含义是""购买商品数量""。可选值为：无"
pampers_trans_detail_fact_is_presale,EVENT,是否预售订单,is_presale,"{""desc"": ""是否预售订单"", ""type"": ""Enum""}","这是一个来源为EVENT，名为""是否预售订单""的下的属性字段，名为is_presale。它的含义是""是否预售订单""。可选值为：否,是,未知"
pampers_trans_detail_fact_purchase_channel_name,EVENT,购买渠道,purchase_channel_name,"{""desc"": ""购买渠道"", ""type"": ""Enum""}","这是一个来源为EVENT，名为""购买渠道""的下的属性字段，名为purchase_channel_name。它的含义是""购买渠道""。可选值为：DOUYIN,JD,O2O,TMALL,VIP,YOUZAN"
pampers_trans_detail_fact_store_id,EVENT,门店编号,store_id,"{""desc"": ""门店编号"", ""type"": ""Enum""}","这是一个来源为EVENT，名为""门店编号""的下的属性字段，名为store_id。它的含义是""门店编号""。可选值为：1000001933,1709997,8,97876259,v003"
pampers_trans_detail_fact_cus_store_id,EVENT,线下商超柜台门店编号,cus_store_id,"{""desc"": ""线下商超柜台门店编号"", ""type"": ""String""}","这是一个来源为EVENT，名为""线下商超柜台门店编号""的下的属性字段，名为cus_store_id。它的含义是""线下商超柜台门店编号""。可选值为：无"
pampers_trans_detail_fact_store_name,EVENT,门店名称,store_name,"{""desc"": ""门店名称"", ""type"": ""Enum""}","这是一个来源为EVENT，名为""门店名称""的下的属性字段，名为store_name。它的含义是""门店名称""。可选值为：帮宝适京东自营官方旗舰店_JD,帮宝适唯品会商城_VIP,帮宝适官方旗舰店_TMALL,帮宝适抖音商城_DOUYIN,帮宝适有赞微商城_YOUZAN"
pampers_trans_detail_fact_variant_en,EVENT,产品系列,variant_en,"{""desc"": ""产品系列"", ""type"": ""Enum""}","这是一个来源为EVENT，名为""产品系列""的下的属性字段，名为variant_en。它的含义是""产品系列""。可选值为：2 in 1 Jasmine,2 in 1 Lavender,3D White,3MM Jasmine,3MM Milky,3MM TDC,4 in 1,Adult MOC,Adult OR Refill,Adv Expert,Affordable Mainline,Air Freshener,Alps,Anti-mite Lav,Antimite,B3 Essence,B3 Essence Reload,Base Line,Baymax,BERRY FLOWER,Blossom,Classic,Classic Fragrance,Clean & Hydration,Cleansing and oil control,Color,Color Perm,Cotton Soap,Cross Action-Pro Health,CW,CW-Color,CW-LEM,Detox Acne,Detox Foaming,Detox Kapa,Detox Liquid,Disinfectant,Eden,Eden Mini,Essential Oil Nourishing smooth,Expert,Fabric Fresheners,Flora Freya,Floss,Forest,Fortify Care,Freesia,Fresh Freya,Fusion Base,Fusion Proglide,Fusion Proshield,Ginseng Nourishing Repair,Gold Cotton,Green,Green Cotton,Hair & Body 2 in 1,Health Fresh,Health Moisture,Hyaluronic Acid,Hydrated Nourishment,Hydrating,Hydration,Hygeia,Ichiban,Ichiban Plus,Ichiban Sensitive,Ichiban Soft Kitten,Icy Oil,Intensive Cleansing,Itchy Pamering,Ivory Base,Ivory Cotton,Ivory Sensitive,Kids Anti-Sugar,Kids Handle,Kids QiaoHu,Kids QiaoHu Base,Kids QiaoHu MP,Kids Super Wing,Koa"
pampers_trans_detail_fact_product_form_en,EVENT,产品类型,product_form_en,"{""desc"": ""产品类型"", ""type"": ""Enum""}","这是一个来源为EVENT，名为""产品类型""的下的属性字段，名为product_form_en。它的含义是""产品类型""。可选值为：Accessory,Air Care,Bar,Beads,Blades,Body Lotion,Cleanser,Conditioner,Cotton Soap,Cream,Dry Wipes,Essence,Eye,FBW,Fem Pants,FHS,Floss,Foam Detergent,Foamy,LBW,LHS,LIQ,Liquid Soap,Mix,Moc,N/A,Pads,Pantiliner,Pants,Paste,POC,Pods,Pre-essence,PWD,Razor,Rinse,Sanitizer,Shampoo,Tampons,Taped,Toner,Treatment,UW Liq,Waterless,Wet Wipes,Wipes,X-Product-Form"
pampers_trans_detail_fact_diaper_size,EVENT,Pampers产品尺寸,diaper_size,"{""desc"": ""Pampers产品尺寸"", ""type"": ""Enum""}","这是一个来源为EVENT，名为""Pampers产品尺寸""的下的属性字段，名为diaper_size。它的含义是""Pampers产品尺寸""。可选值为：L,L Plus,M,Mix,NB,S,XL,XXL,XXXL,XXXXL"
pampers_trans_detail_fact_product_retail_amount,EVENT,产品下单金额,product_retail_amount,"{""desc"": ""产品下单金额"", ""type"": ""Double""}","这是一个来源为EVENT，名为""产品下单金额""的下的属性字段，名为product_retail_amount。它的含义是""产品下单金额""。可选值为：无"
